Location,Latitude,Longitude
junk,-999.9999,-999.9999
02OJ007,45.3988,-73.2513
Champlain,45.3076,-73.2438
Bartlett,44.2654,-74.2434
LPlacid,44.3064,-73.9776
UnionFls,44.4985,-73.9190
TaylorPd,44.4902,-73.8516
ChazyLake,44.7652,-73.8024
LGeorge,43.8226,-73.4269
Chitenden,43.7318,-72.9101
Waterbury,44.3903,-72.7608
Wrightvle,44.3234,-72.5687
Greenrvr,44.6313,-72.5273
EBarre,44.1899,-72.4192
Marshfield,44.3656,-72.2857
030424,45.1661,-73.0428
Chambly,-999.9999,-999.9999
junk,-999.9999,-999.9999
junk,999.9999,-999.9999
04271500,44.9988,-73.5015
04271815,44.8991,-73.4180
04273700,44.6407,-73.4846
04273800,44.5992,-73.4842
04274000,44.3147,-73.9106
04275500,44.4575,-73.6345
04276500,44.3659,-73.3929
04280000,43.6243,-73.3014
04280450,43.4658,-73.2846
04282000,43.6071,-73.0092
04282500,44.0065,-73.1597
04282525,44.0660,-73.1680
04282650,44.1984,-73.2432
04282780,44.2490,-73.2264
04282795,44.3660,-73.2095
04283500,44.1578,-72.4344
04284751,44.2493,-72.5428
04285500,44.2995,-72.5760
04286000,44.2651,-72.5844
04287000,44.1828,-72.6428
04288000,44.2744,-72.7428
04288040,44.3245,-72.7342
04289000,44.3743,-72.7678
04290500,44.4820,-73.1345
04292000,44.6238,-72.6693
04292201,44.6493,-72.8263
04292500,44.6817,-73.0686
04293000,44.9743,-72.3844
04293500,44.9571,-72.6928
04294000,44.9154,-73.1261
05AA008,49.6046,-114.4084
05AA022,49.4877,-114.1499
05AA024,49.5543,-113.8250
05AA035,49.7295,-114.0831
05AB021,50.0210,-113.7086
05AC003,50.1377,-113.1169
05AD003,49.1127,-113.8343
05AD005,49.1040,-113.6920
05AD007,49.7126,-112.8669
05AD010,49.2957,-113.7922
05AD028,49.4294,-113.4834
05AD041,49.3541,-113.4832
05AE002,49.2041,-113.2926
05AE006,49.5712,-112.8418
05AG006,49.9204,-111.7917
05AJ001,50.0461,-110.6749
05BA002,51.4294,-116.1751
05BB001,51.1710,-115.5666
05BC001,51.1543,-115.5420
05BG006,51.2870,-114.8422
