NSRPS Station Locations
File created on: 2022-08-23 13:15:30.395037
Watroute version: 3.2.0
Regions in file: cha,chu,cmb,gls,gsl,hud,mck,nel,otw,ska,ssk,yuk
station_ID,provider,nsrps_lat,nsrps_lon,nsrps_region
02OJ007,ECCC,45.3988,-73.2513,cha
030424,CEHQ,45.1661,-73.0428,cha
04271500,USGS,44.9988,-73.5015,cha
04271815,USGS,44.8991,-73.418,cha
04273700,USGS,44.6407,-73.4846,cha
04273800,USGS,44.5992,-73.4842,cha
04274000,USGS,44.3147,-73.9106,cha
04275500,USGS,44.4575,-73.6345,cha
04276500,USGS,44.3659,-73.3929,cha
04280000,USGS,43.6243,-73.3014,cha
04280450,USGS,43.4658,-73.2846,cha
04282000,USGS,43.6071,-73.0092,cha
04282500,USGS,44.0065,-73.1597,cha
04282525,USGS,44.066,-73.168,cha
04282650,USGS,44.1984,-73.2432,cha
04282780,USGS,44.249,-73.2264,cha
04282795,USGS,44.366,-73.2095,cha
04283500,USGS,44.1578,-72.4344,cha
04284751,USGS,44.2493,-72.5428,cha
04285500,USGS,44.2995,-72.576,cha
04286000,USGS,44.2651,-72.5844,cha
04287000,USGS,44.1828,-72.6428,cha
04288000,USGS,44.2744,-72.7428,cha
04288040,USGS,44.3245,-72.7342,cha
04289000,USGS,44.3743,-72.7678,cha
04290500,USGS,44.482,-73.1345,cha
04292000,USGS,44.6238,-72.6693,cha
04292201,USGS,44.6493,-72.8263,cha
04292500,USGS,44.6817,-73.0686,cha
04293000,USGS,44.9743,-72.3844,cha
04293500,USGS,44.9571,-72.6928,cha
04294000,USGS,44.9154,-73.1261,cha
05AA008,AEP,49.6046,-114.4084,nel
05AA022,AEP,49.4877,-114.1499,nel
05AA024,AEP,49.5543,-113.825,nel
05AA035,AEP,49.7295,-114.0831,nel
05AB021,AEP,50.021,-113.7086,nel
05AC003,AEP,50.1377,-113.1169,nel
05AD003,AEP,49.1127,-113.8343,nel
05AD005,AEP,49.104,-113.692,nel
05AD007,AEP,49.7126,-112.8669,nel
05AD010,AEP,49.2957,-113.7922,nel
05AD028,AEP,49.4294,-113.4834,nel
05AD041,AEP,49.3541,-113.4832,nel
05AE002,AEP,49.2041,-113.2926,nel
05AE006,AEP,49.5712,-112.8418,nel
05AG006,AEP,49.9204,-111.7917,nel
05AJ001,AEP,50.0461,-110.6749,nel
05BA002,AEP,51.4294,-116.1751,nel
05BB001,AEP,51.171,-115.5666,nel
05BC001,AEP,51.1543,-115.542,nel
05BG006,AEP,51.287,-114.8422,nel
05BG010,AEP,51.27,-114.9255,nel
05BH004,AEP,51.0542,-114.05,nel
05BH015,AEP,51.1283,-114.5675,nel
05BJ001,AEP,51.0128,-114.0837,nel
05BJ004,AEP,50.9458,-114.5753,nel
05BJ010,AEP,50.9958,-114.1666,nel
05BL004,AEP,50.5956,-113.8748,nel
05BL012,AEP,50.7212,-113.9751,nel
05BL014,AEP,50.6876,-114.2418,nel
05BL022,AEP,50.2793,-114.592,nel
05BL024,AEP,50.7874,-113.8166,nel
05BN012,AEP,50.046,-111.5921,nel
05CA009,AEP,51.6459,-115.017,nel
05CB001,AEP,52.0291,-114.1418,nel
05CB004,AEP,52.0876,-114.4754,nel
05CB007,AEP,52.0541,-114.2089,nel
05CC001,AEP,52.3542,-113.7919,nel
05CC002,AEP,52.2794,-113.8083,nel
05CC007,AEP,52.3208,-114.3423,nel
05CE001,AEP,51.4714,-112.7084,nel
05CK004,AEP,50.9127,-110.2999,nel
05DA009,AEP,52.0039,-116.4672,nel
05DB002,AEP,52.2789,-114.9253,nel
05DB006,AEP,52.2541,-114.8586,nel
05DC001,AEP,52.3793,-114.9336,nel
05DC006,AEP,52.371,-115.4169,nel
05DD009,AEP,52.8204,-115.5169,nel
05DF001,AEP,53.5373,-113.4835,nel
05EA005,AEP,53.6622,-113.7587,nel
05EF001,AEP,53.5292,-109.617,nel
05FA001,AEP,52.6621,-113.5836,nel
05FA011,AEP,52.9536,-112.9588,nel
05FE004,AEP,52.8536,-110.0172,nel
05GG001,ECCC,53.2039,-105.7667,nel
05HD036,ECCC,49.8454,-108.4759,nel
05HD039,ECCC,50.496,-107.6589,nel
05HG001,ECCC,52.1374,-106.6423,nel
05JE006,ECCC,50.3955,-105.4004,nel
05JF001,ECCC,50.6538,-104.8668,nel
05JF005,ECCC,50.6373,-104.9004,nel
05JK007,ECCC,50.7868,-104.2835,nel
05JM001,ECCC,50.4954,-101.5588,nel
05KD003,ECCC,53.7042,-103.3004,nel
05KE010,ECCC,53.8625,-104.6177,nel
05KH007,ECCC,53.6202,-102.1003,nel
05KJ001,ECCC,53.8369,-101.2085,nel
05LC001,ECCC,52.8623,-102.1918,nel
05LH005,ECCC,51.8537,-99.5421,nel
05LJ025,ECCC,51.4539,-99.9671,nel
05LL002,ECCC,50.1288,-98.5839,nel
05LL014,ECCC,49.9041,-99.2086,nel
05LM001,ECCC,51.5875,-98.7088,nel
05LM006,ECCC,51.995,-98.317,nel
05MD004,ECCC,51.5624,-101.9172,nel
05MD005,ECCC,50.9622,-101.3177,nel
05MF001,ECCC,50.3624,-99.9092,nel
05MH001,ECCC,49.8621,-99.9591,nel
05MH005,ECCC,49.6955,-98.8844,nel
05MJ001,ECCC,49.8705,-97.4009,nel
05NA003,ECCC,49.0039,-103.3506,nel
05NB001,ECCC,49.1037,-103.0089,nel
05NB021,ECCC,49.0373,-102.8421,nel
05NB036,ECCC,49.1536,-103.084,nel
05ND010,ECCC,49.5288,-102.1756,nel
05NG001,ECCC,49.5954,-99.6753,nel
05NG024,ECCC,49.8454,-101.4005,nel
05OB007,ECCC,49.0285,-98.2755,nel
05OB016,ECCC,49.0206,-98.6006,nel
05OB021,ECCC,48.9957,-98.4503,nel
05OC001,ECCC,49.0039,-97.2175,nel
05OC012,ECCC,49.5619,-97.1759,nel
05OG001,ECCC,49.6791,-97.4255,nel
05PA006,ECCC,48.3792,-92.167,nel
05PB014,ECCC,48.8453,-92.7173,nel
05PB018,ECCC,48.7539,-91.5841,nel
05PG001,ECCC,50.0371,-95.509,nel
05PH003,ECCC,49.9371,-95.9507,nel
05QA004,ECCC,50.1701,-91.5418,nel
05QC001,ECCC,50.8789,-93.4837,nel
05QD006,ECCC,49.9624,-93.4012,nel
05QE008,ECCC,50.5125,-93.2592,nel
05QE009,ECCC,50.3542,-94.4671,nel
05QE012,ECCC,50.6873,-93.9755,nel
05RA001,ECCC,51.1038,-96.2832,nel
05RB003,ECCC,51.7037,-96.6086,nel
05RC001,ECCC,51.8122,-93.5175,nel
05TD001,ECCC,55.7373,-97.0005,nel
05TE002,ECCC,55.4957,-99.2176,nel
05TF002,ECCC,55.929,-98.8839,nel
05TG001,ECCC,55.7455,-97.8923,nel
05TG002,ECCC,55.4871,-98.1925,nel
05TG003,ECCC,55.9957,-97.3594,nel
05TG006,ECCC,55.9122,-98.4839,nel
05UF004,ECCC,56.3369,-94.692,nel
05UG001,ECCC,56.512,-94.2172,nel
05UH001,ECCC,56.6788,-93.6337,nel
05UH002,ECCC,57.0203,-93.4511,nel
05017500,USGS,48.8376,-113.4175,nel
05020500,USGS,49.0123,-113.3004,nel
05030500,USGS,46.371,-96.0173,nel
05046000,USGS,46.2125,-96.1839,nel
05046475,USGS,46.2704,-96.584,nel
05050000,USGS,45.8623,-96.5673,nel
05051300,USGS,46.154,-96.576,nel
05051500,USGS,46.2709,-96.5924,nel
05051522,USGS,46.6625,-96.7925,nel
05051600,USGS,46.0206,-97.5093,nel
05052000,USGS,46.1707,-97.0095,nel
05052500,USGS,46.3124,-96.7256,nel
05053000,USGS,46.4706,-96.7842,nel
05054000,USGS,46.8625,-96.7759,nel
05054500,USGS,47.7041,-99.9423,nel
05055300,USGS,47.904,-99.4174,nel
05055400,USGS,47.8209,-99.2757,nel
05056000,USGS,47.8042,-98.7173,nel
05057000,USGS,47.4289,-98.0259,nel
05057200,USGS,47.2291,-98.1259,nel
05058000,USGS,47.0289,-98.0842,nel
05058500,USGS,46.9208,-98.0087,nel
05058700,USGS,46.4457,-97.6845,nel
05059000,USGS,46.629,-97.001,nel
05059500,USGS,46.8873,-96.9093,nel
05059700,USGS,46.6208,-97.5758,nel
05059715,USGS,46.6872,-97.4679,nel
05060000,USGS,46.8624,-97.1012,nel
05060100,USGS,46.9038,-97.051,nel
05060500,USGS,47.0122,-97.2096,nel
05061000,USGS,46.8456,-96.3258,nel
05061500,USGS,46.7795,-96.626,nel
05062000,USGS,46.9625,-96.6592,nel
05062500,USGS,47.2708,-96.2508,nel
05063398,USGS,47.1125,-96.3838,nel
05064000,USGS,47.2706,-96.7927,nel
05064500,USGS,47.354,-96.8422,nel
05065500,USGS,47.5456,-97.4507,nel
05066500,USGS,47.4123,-97.0594,nel
05067500,USGS,47.4125,-96.7677,nel
05069000,USGS,47.6125,-96.8088,nel
05070000,USGS,47.7622,-96.9343,nel
05074500,USGS,47.9623,-95.276,nel
05075000,USGS,48.0459,-95.8089,nel
05076000,USGS,48.1873,-96.1675,nel
05078000,USGS,47.9209,-96.0423,nel
05078230,USGS,47.8457,-95.8591,nel
05078500,USGS,47.8791,-96.259,nel
05079000,USGS,47.7706,-96.6092,nel
05080000,USGS,47.8036,-96.8093,nel
05082500,USGS,47.929,-97.0257,nel
05082625,USGS,47.9374,-97.509,nel
05084000,USGS,48.1959,-97.7256,nel
05085000,USGS,48.2874,-97.3672,nel
05085450,USGS,48.2124,-96.7174,nel
05087500,USGS,48.3375,-96.8175,nel
05090000,USGS,48.4291,-97.409,nel
05092000,USGS,48.5709,-97.1423,nel
05094000,USGS,48.7373,-96.6591,nel
05099400,USGS,48.8623,-98.0009,nel
05099600,USGS,48.9127,-97.9088,nel
05100000,USGS,48.9875,-97.5506,nel
05101000,USGS,48.7791,-97.7425,nel
05104500,USGS,48.7954,-95.7343,nel
05106000,USGS,48.9959,-95.6592,nel
05107500,USGS,48.9124,-95.9175,nel
05112000,USGS,48.9791,-96.4596,nel
05113600,USGS,48.9794,-103.0756,nel
05114000,USGS,48.9954,-101.9589,nel
05116000,USGS,48.379,-101.5009,nel
05116500,USGS,48.371,-101.5674,nel
05120000,USGS,48.1622,-100.7343,nel
05120500,USGS,48.1372,-100.5432,nel
05122000,USGS,48.5042,-100.4424,nel
05123400,USGS,48.5869,-100.443,nel
05123510,USGS,48.5868,-100.8601,nel
05124000,USGS,48.9955,-100.9595,nel
05124480,USGS,47.9204,-91.5346,nel
05125000,USGS,47.8373,-91.6926,nel
05126210,USGS,47.8457,-91.8009,nel
05127500,USGS,48.079,-91.6511,nel
05129115,USGS,48.2624,-92.5675,nel
05129290,USGS,48.4706,-93.0263,nel
05129515,USGS,48.5953,-93.4424,nel
05131500,USGS,48.3955,-93.5427,nel
05132000,USGS,48.196,-93.8096,nel
05133500,USGS,48.6374,-93.909,nel
05134200,USGS,48.5377,-94.5595,nel
08NA002,ECCC,-116.9112,51.2481,cmb
08NA006,ECCC,-116.9613,51.2984,cmb
08NA011,ECCC,-116.4114,50.9075,cmb
08NB005,ECCC,-117.1853,51.4903,cmb
08NB012,ECCC,-116.9701,51.4813,cmb
08NB014,ECCC,-117.7204,51.6812,cmb
08NB019,ECCC,-117.4693,51.5072,cmb
08NC004,ECCC,-119.3863,52.7316,cmb
08ND012,ECCC,-118.5859,51.6737,cmb
08ND013,ECCC,-118.0778,51.0149,cmb
08NE039,ECCC,-117.9453,49.0135,cmb
08NE049,ECCC,-117.7211,49.1642,cmb
08NE074,ECCC,117.2951,49.0485,cmb
08NE077,ECCC,118.1274,49.9146,cmb
08NE110,ECCC,-118.1857,49.8973,cmb
08NF001,ECCC,-116.0444,50.8898,cmb
08NG002,ECCC,-115.3614,49.4982,cmb
08NG065,ECCC,-115.6356,49.6144,cmb
08NG076,ECCC,-115.9195,49.7136,cmb
08NG077,ECCC,-116.4351,49.7404,cmb
08NH005,ECCC,-116.9447,49.9065,cmb
08NH007,ECCC,-116.9695,50.2647,cmb
08NH118,ECCC,-116.9524,50.2385,cmb
08NH119,ECCC,-117.0444,50.6397,cmb
08NH139,ECCC,-116.0032,49.3983,cmb
08NJ013,ECCC,-117.5695,49.4648,cmb
08NJ160,ECCC,-117.4358,49.6979,cmb
08NK002,ECCC,-115.0695,49.5069,cmb
08NL004,ECCC,-119.9939,49.2061,cmb
08NL007,ECCC,-120.5111,49.4571,cmb
08NL024,ECCC,-120.5194,49.4645,cmb
08NL038,ECCC,-120.1523,49.3817,cmb
08NL039,ECCC,120.3361,49.6812,cmb
08NL050,ECCC,-120.0696,49.3649,cmb
08NL069,ECCC,-120.5692,49.0985,cmb
08NL070,ECCC,-120.6771,49.0975,cmb
08NL071,ECCC,-120.9774,49.4647,cmb
08NM002,ECCC,-119.5771,49.3487,cmb
08NM037,ECCC,-119.7452,49.4317,cmb
08NM050,ECCC,-119.6109,49.4987,cmb
08NM065,ECCC,119.2701,50.2317,cmb
08NM085,ECCC,119.5613,49.1154,cmb
08NM116,ECCC,-119.4107,49.8811,cmb
08NM171,ECCC,-119.3193,49.2481,cmb
08NM174,ECCC,-119.5352,50.2147,cmb
08NM200,ECCC,-119.5028,49.0813,cmb
08NM247,ECCC,-119.5282,49.2565,cmb
08NN002,ECCC,-118.4361,49.0402,cmb
08NN003,ECCC,-118.9778,49.1812,cmb
